#ies_format_version: 1.0
#file: 20251209_11000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 7
#timestep_sec: 11.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	str1_cell1_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell1)
#005;	str1_cell1_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell1)
#006;	str1_cell1_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell1)
#007;	str1_cell2_R;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (R) (str1_cell2)
#008;	str1_cell2_V;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (V) (str1_cell2)
#009;	str1_cell2_T;	FALSE;	TRUE;	0;	other;	INTEGER,12. Cell (T) (str1_cell2)
YYYYMMDD;	hhmmss;	unixtimestamp;	str1_cell1_R;	str1_cell1_V;	str1_cell1_T;	str1_cell2_R;	str1_cell2_V;	str1_cell2_T
20251209;	093634;	1765247794.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093645;	1765247805.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093656;	1765247816.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093707;	1765247827.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093718;	1765247838.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093729;	1765247849.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093740;	1765247860.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093751;	1765247871.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093802;	1765247882.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093813;	1765247893.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093824;	1765247904.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093835;	1765247915.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093846;	1765247926.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093857;	1765247937.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093908;	1765247948.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093919;	1765247959.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093930;	1765247970.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093941;	1765247981.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	093952;	1765247992.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094003;	1765248003.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094014;	1765248014.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094025;	1765248025.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094036;	1765248036.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
20251209;	094047;	1765248047.000;	       err32;	       err32;	       err32;	       err32;	       err32;	       err32
